tensor,elements,minimum,maximum,mean,standard_deviation,zero_fraction,abs_p50,abs_p90,abs_p99,abs_p999,abs_max
layer_input,147456,-51.25,5.125,-0.007681616038704912,0.37698387227492286,0.00054931640625,0.0830078125,0.25390625,0.68359375,2.578125,51.25
layer_output,147456,-51.25,6.09375,-0.0073205950514723854,0.3776311581441079,0.0004679361979166667,0.0859375,0.259765625,0.69921875,2.71875,51.25
mlp_gate,2304,-14.25,-2.9375,-7.604973687065972,1.5110001828875683,0.0,7.53125,9.543750000000017,11.625,13.073875000000044,14.25
mlp_shared_expert_gate_proj,2304,-2.78125,2.5,-0.1210451409763967,0.8102865897701051,0.0,0.546875,1.375,2.187031249999997,2.6107968750000055,2.78125
mlp_shared_expert_gate,72,-3.375,-2.328125,-2.8292100694444446,0.2848954332922153,0.0,2.78125,3.2453125,3.3528125,3.37278125,3.375
