period_ns,frequency_mhz,wns_ns,tns_ns,setup_failing_endpoints,whs_ns,ths_ns,hold_failing_endpoints,setup_status,hold_status,source,sha256
4.0,250.0,-1.54,-34623.242,50318,0.01,0.0,0,FAIL,PASS,reports/vivado/corrected/e2m0/postroute_sweep/timing_4p000ns.rpt,CED95BFC007CF53689DAB060F3AAB9BF41A2EBFFD442A304E5FFFAA00C41F19C
5.0,200.0,-0.54,-2344.406,13323,0.01,0.0,0,FAIL,PASS,reports/vivado/corrected/e2m0/postroute_sweep/timing_5p000ns.rpt,F9C84CEBEDBD5E14869824D6018E20D1F7628A139D8E62DED79116FAD02C6E5E
5.5,181.8181818181818,-0.04,-0.941,53,0.01,0.0,0,FAIL,PASS,reports/vivado/corrected/e2m0/postroute_sweep/timing_5p500ns.rpt,5232AF1F0DDEDF71C42E6E74E76E225FEE057B5F591DCBA274A2530AD8BF20EB
5.55,180.18018018018017,0.01,0.0,0,0.01,0.0,0,PASS,PASS,reports/vivado/corrected/e2m0/postroute_sweep/timing_5p550ns.rpt,E7E22E768DBB32230411711CBBC758B9165CF2C6AE66C4D8712B8ECE9C17934B
5.6,178.57142857142858,0.06,0.0,0,0.01,0.0,0,PASS,PASS,reports/vivado/corrected/e2m0/postroute_sweep/timing_5p600ns.rpt,63CAED8DB96AA0C7E368798A262392C142E7DA90FD6C3D34A11CCA2B54F1939C
6.0,166.66666666666666,0.46,0.0,0,0.01,0.0,0,PASS,PASS,reports/vivado/corrected/e2m0/postroute_sweep/timing_6p000ns.rpt,FAB24AFBEC35FAAAA79422AF498C04717A21E1A9FA229E23EC7E5177C1422D6E
