comparison,precision,output_cosine,output_rel_l2,output_max_abs,state_cosine,state_rel_l2,state_max_abs,status
numpy_fp32_vs_transformers_recurrent_fp32,fp32,0.9999999999999648,2.6917550260713995e-07,1.30385160446167e-08,0.9999999999999892,1.5057696839145024e-07,5.960464477539063e-08,PASS
transformers_chunk_fp32_vs_recurrent_fp32,fp32,0.9999999999999469,3.280704823065172e-07,1.210719347000122e-08,0.9999999999999689,2.5288175856004643e-07,1.4901161193847656e-07,PASS
transformers_cache_fp32_vs_recurrent_fp32,fp32,0.9999999999999667,2.6246920598294713e-07,1.30385160446167e-08,0.9999999999999936,1.1465344189599656e-07,5.960464477539063e-08,PASS
fla_recurrent_bf16_vs_transformers_recurrent_bf16,bf16,0.9999912403217727,0.004190689620977263,0.0001220703125,0.9999965535311078,0.0026266072431601084,0.0015723258256912231,PASS
fla_chunk_bf16_vs_transformers_recurrent_bf16,bf16,0.9999831460800958,0.005808352114330803,0.000244140625,0.9999892647687413,0.00463396483441035,0.0027504563331604004,PASS
fla_cache_bf16_vs_transformers_recurrent_bf16,bf16,0.9999868467818085,0.005131862049222108,0.00018310546875,0.9999963812551553,0.0026913490516131122,0.0015896111726760864,PASS
